HEADER INFORMATION (all units in Statoil default) 
----------------------------------------------------------------
COMPANY: Statoil Norway
FIELD: SLEIPNER
WELL NAME: F-10
WELLBORE NAME: NO 15/9-F-10
Drilled From: Well Ref. Point
Kick Off Depth: 1381.60m
Survey Name: F10 Rev 5.1 280409
Survey Date: 01.01.1990
Extraction Date: 11.04.2018
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: Rotary Table(54.90m)
----------------------------------------------------------------
Surface EW: 435052.248m
Surface NS: 6478559.613m
Surface Latitude: 58° 26' 29.6816 N
Surface Longitude: 1° 53' 15.0698 E
Bottom Hole MD: 5413.67m
Bottom Hole TVD: 3065.94m
Bottom Hole EW: 438039.045m
Bottom Hole NS: 6476491.728m
----------------------------------------------------------------
Survey Program:  
H  150 - 260 26" CONTINUOUS WIRELINE GYRO TO SB : KEEPER, CONT
H  267 - 683 26" GYROMWD SURVEY : KEEPER, STAT
H  709 - 1382 26"MWD SURVEY : MAGNETIC, STD, NON-MAG
H  1382 - 5414 F10 REV 5.1 280409 : MAGNETIC, STD, NON-MAG
----------------------------------------------------------------
Water Depth: 91.00m
KB-WH: 145.90m
KB-MSL: 54.90m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 124.70deg
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
m RKB     deg       deg       m RKB     m               m               m               m               deg/30m
1381.60   27.47     120.39    1324.51   267.661         -158.608        435317.589      6478404.970     0.00      
1410.00   27.75     119.54    1349.68   279.064         -165.181        435328.988      6478398.399     0.51      
1430.00   27.95     118.95    1367.36   287.216         -169.746        435337.137      6478393.837     0.51      
1440.00   27.89     118.66    1376.20   291.319         -172.002        435341.239      6478391.581     0.44      
1463.00   27.75     118.00    1396.54   300.767         -177.096        435350.683      6478386.489     0.44      
1470.00   27.68     118.00    1402.73   303.641         -178.624        435353.556      6478384.961     0.30      
1500.00   27.38     118.00    1429.34   315.885         -185.134        435365.795      6478378.453     0.30      
1530.00   27.08     118.00    1456.01   328.005         -191.578        435377.911      6478372.011     0.30      
1560.00   26.78     118.00    1482.76   340.001         -197.957        435389.904      6478365.635     0.30      
1590.00   26.48     118.00    1509.58   351.874         -204.270        435401.773      6478359.324     0.30      
1620.00   26.18     118.00    1536.46   363.623         -210.517        435413.517      6478353.079     0.30      
1650.00   25.88     118.00    1563.42   375.247         -216.698        435425.137      6478346.901     0.30      
1680.00   25.58     118.00    1590.45   386.747         -222.812        435436.633      6478340.789     0.30      
1710.00   25.28     118.00    1617.54   398.121         -228.860        435448.003      6478334.743     0.30      
1730.00   25.08     118.00    1635.64   405.634         -232.855        435455.514      6478330.749     0.30      
1740.00   25.75     118.00    1644.67   409.423         -234.869        435459.301      6478328.735     2.00      
1770.00   27.75     118.00    1671.46   421.344         -241.208        435471.218      6478322.399     2.00      
